SITE,ElevenMile_TMY_ACP_,,,,,,,,,,,
COUNTRY,United States,,,,,,,,,,,
LONGITUDE (degrees),-111.6026424,,,,,,,,,,,
LATITUDE (degrees),32.77034159,,,,,,,,,,,
ELEVATION (m),460,,,,,,,,,,,
UTC_OFFSET (hours),-7,,,,,,,,,,,
TYPE,TMY,,,,,,,,,,,
DATASET,Vaisala 2.1.4,,,,,,,,,,,
UNIQUE_ID,mfqtezrxgu3temldga4dgobtgm2wgy,,,,,,,,,,,
CREATION_TIME,2023-07-28 13:57:21 +0000,,,,,,,,,,,
PERIOD,hourly,data represents the period ending mean,,,,,,,,,,
date time,GHI (W m-2),DNI (W m-2),DIF (W m-2),windspeed at 10m (m s-1),winddirection at 10m (degrees),temperature at 2m (degrees C),pressure at 0m (Pa),total precipitable water vapor (cm),albedo (fraction),precipitation (mm),snowfall (mm),snowdepth (mm)
1/1/2047 1:00,0,0,0,2.80058,207.205,14.144,95653.8,1.18293,0.23497,0,0,0
1/1/2047 2:00,0,0,0,2.89158,207.231,13.6565,95678.2,1.04933,0.23497,0,0,0
1/1/2047 3:00,0,0,0,2.53956,215.861,12.7193,95716.5,1.0041,0.234986,0,0,0
1/1/2047 4:00,0,0,0,1.97083,218.937,11.7111,95752.7,0.986127,0.235015,0,0,0
1/1/2047 5:00,0,0,0,1.5848,201.713,10.5864,95769.9,0.944476,0.23503,0,0,0
1/1/2047 6:00,0,0,0,1.52001,179.822,9.30936,95787.7,0.895653,0.23503,0,0,0
1/1/2047 7:00,0,0,0,1.71221,169.123,8.717,95812.9,0.863422,0.23503,0,0,0
1/1/2047 8:00,9.92842,13.3098,9.17287,1.87306,165.864,8.85956,95843.6,0.85822,0.23503,0,0,0
1/1/2047 9:00,107.865,108.377,85.3903,2.02894,163.017,10.1254,95887.9,0.87836,0.23503,0,0,0
1/1/2047 10:00,322.04,666.067,93.102,2.05314,162.065,12.8017,95931.6,0.908892,0.23503,0,0,0
1/1/2047 11:00,470.879,836.431,86.4134,1.65128,169.407,15.365,95953.1,0.93403,0.23503,0,0,0
1/1/2047 12:00,563.944,880.268,92.5687,1.19673,182.342,17.0834,95930.4,0.947159,0.23503,0,0,0
1/1/2047 13:00,594.341,899.731,89.643,0.777242,189.661,18.2353,95857.2,0.95474,0.23503,0,0,0
1/1/2047 14:00,544.453,717.543,161.892,0.602826,216.111,19.4351,95789.5,0.971,0.23503,0,0,0
1/1/2047 15:00,459.163,773.688,103.349,0.786976,311.799,20.5901,95756.1,1.00311,0.235043,0,0,0
1/1/2047 16:00,278.864,425.751,139.741,0.970615,32.7823,20.8921,95737.3,1.04855,0.235068,0,0,0
1/1/2047 17:00,78.2827,116.592,64.6186,1.2104,41.5555,20.7594,95746.5,1.12714,0.23508,0,0,0
1/1/2047 18:00,13.1992,102.717,7.69938,1.48418,51.0871,20.5146,95765.9,1.22314,0.23508,0.005722,0,0
1/1/2047 19:00,0,0,0,1.72764,59.0691,19.8818,95778,1.27157,0.23508,0,0,0
1/1/2047 20:00,0,0,0,1.92447,62.5285,18.4948,95778.5,1.29232,0.23508,0,0,0
1/1/2047 21:00,0,0,0,2.04788,73.9099,16.6063,95774.6,1.33337,0.23508,0,0,0
1/1/2047 22:00,0,0,0,1.9435,92.391,15.0035,95810.3,1.37367,0.23508,0,0,0
1/1/2047 23:00,0,0,0,1.63891,118.406,13.7899,95865.5,1.38888,0.23508,0,0,0
1/2/2047 0:00,0,0,0,1.62576,131.975,12.8519,95888,1.37053,0.23508,0,0,0
1/2/2047 1:00,0,0,0,1.80213,134.641,12.1256,95880.2,1.31509,0.23508,0,0,0
