"Green Township United States"
39.9,84.22,306,5,-30,1,1,"SYN"

78.3,105.2,144.3,204.6,235.9,255.9,245.5,232.1,179.8,143.5,80.7,64.4
-3.3,-0.5,4.3,10.2,15.3,21.3,22.8,20.9,18.5,11,5,-1.1
5.1,4.9,5.7,5.2,4,3.9,3.4,3.2,2.8,3.9,4.7,4.9
0	0	-2.2	7.2
0	0	-2.2	5.2
0	0	-2.8	6.2
0	0	-3.3	6.2
0	0	-4.4	6.2
0	0	-6.7	5.2
0	0	-6.7	5.2
0	0	-6.7	5.2
41	31	-7.2	4.1
124	81	-7.2	4.6
269	79	-6.1	6.2
431	48	-5.6	5.7
438	45	-5	4.1
412	45	-4.4	3.6
363	40	-3.9	5.7
228	42	-4.4	3.6
73	33	-5.6	5.2
13	7	-6.7	4.1
0	0	-7.2	3.1
0	0	-7.8	4.1
0	0	-8.9	3.6
0	0	-9.4	4.1
0	0	-10.6	2.6
0	0	-10.6	3.6
0	0	-10.6	3.6
0	0	-11.7	3.1
0	0	-11.7	2.6
0	0	-12.2	2.1
0	0	-12.8	2.1
0	0	-13.3	2.6
0	0	-12.8	2.1
0	0	-13.3	2.1
46	22	-11.1	2.1
188	41	-9.4	2.6
327	54	-7.8	2.1
420	62	-6.1	3.6
464	65	-4.4	4.1
442	64	-3.9	4.6
364	57	-2.8	5.7
239	46	-2.8	4.6
90	30	-3.3	3.6
12	7	-5	2.6
0	0	-6.1	2.6
0	0	-6.1	2.6
0	0	-6.7	3.1
0	0	-6.7	3.6
0	0	-6.7	3.6
0	0	-6.1	3.1
0	0	-7.8	2.6
0	0	-7.8	2.6
0	0	-7.8	1.5
0	0	-9.4	2.1
0	0	-8.3	2.1
0	0	-8.9	2.6
0	0	-8.9	2.1
0	0	-9.4	1.5
32	27	-7.8	2.6
128	78	-6.1	2.1
235	112	-2.8	3.1
323	170	-1.1	3.1
347	165	0	3.1
331	130	1.1	3.6
246	143	0.6	3.6
119	107	0.6	3.1
32	32	0.6	4.1
3	3	0	3.1
0	0	-0.6	3.1
0	0	-0.6	2.6
0	0	-0.6	3.6
0	0	-0.6	3.6
0	0	-0.6	3.6
0	0	-1.1	4.6
0	0	-1.7	4.6
0	0	-2.2	5.2
0	0	-2.8	5.7
0	0	-2.8	4.6
0	0	-3.3	5.2
0	0	-4.4	4.6
0	0	-5.6	4.6
0	0	-7.8	6.7
40	30	-7.8	5.2
155	67	-6.7	6.7
314	87	-6.1	8.8
365	111	-6.7	11.3
456	77	-6.1	9.8
292	207	-6.1	9.3
178	130	-6.1	9.8
148	124	-6.7	10.3
52	46	-8.9	7.7
16	11	-10	7.7
0	0	-11.7	7.7
0	0	-12.8	8.8
0	0	-13.3	7.2
0	0	-13.9	6.2
0	0	-14.4	7.7
0	0	-15	6.7
0	0	-16.1	6.7
0	0	-17.2	7.7
0	0	-17.8	7.2
0	0	-18.3	7.2
0	0	-18.3	6.2
0	0	-18.3	7.2
0	0	-18.9	6.2
0	0	-18.9	5.2
40	27	-18.3	6.7
168	62	-16.7	7.2
307	92	-15.6	6.2
395	92	-14.4	5.7
426	121	-13.3	5.7
417	105	-12.8	6.7
325	102	-12.2	6.7
216	68	-12.2	4.1
89	35	-13.3	5.2
11	7	-14.4	5.2
0	0	-15	4.1
0	0	-15.6	3.6
0	0	-16.7	3.6
0	0	-16.7	3.1
0	0	-17.2	3.1
0	0	-17.2	3.6
0	0	-17.8	3.1
0	0	-17.8	3.1
0	0	-18.3	5.2
0	0	-18.3	4.1
0	0	-18.9	2.6
0	0	-19.4	2.6
0	0	-20	2.6
0	0	-20.6	3.1
35	28	-19.4	3.6
161	67	-17.8	3.6
282	94	-16.1	2.6
376	110	-14.4	2.1
416	136	-12.8	3.6
392	132	-11.7	2.1
313	148	-10.6	2.6
179	111	-10.6	3.6
79	62	-11.7	2.6
9	8	-12.8	2.6
0	0	-12.8	1.5
0	0	-13.3	2.1
0	0	-14.4	1.5
0	0	-15.6	2.6
0	0	-16.7	3.6
0	0	-16.1	0
0	0	-16.1	2.1
0	0	-15.6	2.1
0	0	-15	2.1
0	0	-13.9	2.1
0	0	-13.9	2.1
0	0	-13.3	3.6
0	0	-13.3	5.2
0	0	-12.8	5.2
35	35	-12.8	5.2
99	91	-11.7	5.2
160	146	-10.6	4.6
144	143	-10	5.2
197	193	-9.4	6.2
202	199	-8.9	4.1
150	147	-8.3	4.1
144	142	-8.3	3.6
55	55	-8.3	4.1
10	10	-8.9	3.6
0	0	-9.4	3.6
0	0	-10	3.1
0	0	-11.7	2.1
0	0	-10	2.6
0	0	-12.2	2.6
0	0	-11.1	1.5
0	0	-11.1	2.6
0	0	-10.6	1.5
0	0	-10.6	2.1
0	0	-10.6	1.5
0	0	-12.8	0
0	0	-13.9	2.6
0	0	-14.4	0
0	0	-12.8	3.1
27	27	-12.2	2.1
137	63	-10	2.6
295	126	-7.8	3.1
156	152	-7.2	3.1
215	211	-7.2	1.5
174	168	-6.7	2.1
161	160	-6.7	2.1
101	100	-6.7	3.6
51	51	-7.2	2.1
9	8	-8.3	2.6
0	0	-8.9	3.1
0	0	-9.4	3.1
0	0	-11.1	3.1
0	0	-11.7	3.1
0	0	-11.7	2.6
